transaction_id,transaction_reference,booking_date,value_date,amount,currency,credit_debit,status,transaction_type,transaction_family,transaction_subfamily,debtor_name,creditor_name,description,debtor_bank_bic,debtor_bank_name,debtor_bank_country,account_iban,account_currency,account_owner,account_servicer_bic,statement_id,statement_date,source_file,opening_balance_amount,opening_balance_currency,opening_balance_credit_debit,opening_balance_date,closing_balance_amount,closing_balance_currency,closing_balance_credit_debit,closing_balance_date,bank_reference,transaction_amount,instructed_amount,debtor_address,source_currency,target_currency,exchange_rate
1,2025071020032337421053,2025-07-10,2025-07-11,916.56,SEK,CRDT,BOOK,PMNT,RCDT,DMCT,MONTA APS,,Bankgiroinsättning 450-8966 | Bankgiroinsättning 450-8966,,,,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-11-00.06.48-SEK8160,2025-07-11T00:06:48.207+02:00,CA XML Account statement extended_0220753801_20250715.xml,3901654.36,SEK,CRDT,2025-07-10,4125341.23,SEK,CRDT,2025-07-10,2025071020032337421053,916.56,,,,,
2,20250710200761421984,2025-07-10,2025-07-11,172.5,SEK,CRDT,BOOK,PMNT,RCDT,ACDT,MONTA APS,,139231 | 139231,,,,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-11-00.06.48-SEK8160,2025-07-11T00:06:48.207+02:00,CA XML Account statement extended_0220753801_20250715.xml,3901654.36,SEK,CRDT,2025-07-10,4125341.23,SEK,CRDT,2025-07-10,20250710200761421984,172.5,,,,,
3,2025071053219717351,2025-07-10,2025-07-10,550.0,SEK,CRDT,BOOK,PMNT,RCDT,ACDT,MONTA APS,,Insättning | Insättning,,,,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-11-00.06.48-SEK8160,2025-07-11T00:06:48.207+02:00,CA XML Account statement extended_0220753801_20250715.xml,3901654.36,SEK,CRDT,2025-07-10,4125341.23,SEK,CRDT,2025-07-10,2025071053219717351,550.0,,,,,
4,2025071093110376990811000000,2025-07-10,2025-07-10,238797.81,SEK,CRDT,BOOK,PMNT,RCDT,ACDT,MONTA APS,,STRIPE Monta | STRIPE Monta,,,,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-11-00.06.48-SEK8160,2025-07-11T00:06:48.207+02:00,CA XML Account statement extended_0220753801_20250715.xml,3901654.36,SEK,CRDT,2025-07-10,4125341.23,SEK,CRDT,2025-07-10,2025071093110376990811000000,238797.81,,,,,
5,20250710208826536861,2025-07-10,2025-07-10,10042.0,SEK,DBIT,BOOK,PMNT,ICDT,DMCT,,,Betalning BG 5050-1055 SKATTEVERKET | Betalning BG 5050-1055 SKATTEVERKET,NDEASESS,,SE,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-11-00.06.48-SEK8160,2025-07-11T00:06:48.207+02:00,CA XML Account statement extended_0220753801_20250715.xml,3901654.36,SEK,CRDT,2025-07-10,4125341.23,SEK,CRDT,2025-07-10,20250710208826536861,10042.0,,,,,
6,20250710208826536851,2025-07-10,2025-07-10,5942.0,SEK,DBIT,BOOK,PMNT,ICDT,DMCT,,,Betalning BG 5050-1055 SKATTEVERKET | Betalning BG 5050-1055 SKATTEVERKET,NDEASESS,,SE,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-11-00.06.48-SEK8160,2025-07-11T00:06:48.207+02:00,CA XML Account statement extended_0220753801_20250715.xml,3901654.36,SEK,CRDT,2025-07-10,4125341.23,SEK,CRDT,2025-07-10,20250710208826536851,5942.0,,,,,
7,20250710208826536841,2025-07-10,2025-07-10,766.0,SEK,DBIT,BOOK,PMNT,ICDT,DMCT,,,Betalning BG 5050-1055 SKATTEVERKET | Betalning BG 5050-1055 SKATTEVERKET,NDEASESS,,SE,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-11-00.06.48-SEK8160,2025-07-11T00:06:48.207+02:00,CA XML Account statement extended_0220753801_20250715.xml,3901654.36,SEK,CRDT,2025-07-10,4125341.23,SEK,CRDT,2025-07-10,20250710208826536841,766.0,,,,,
1,2025071120032337461091,2025-07-11,2025-07-14,4770.12,SEK,CRDT,BOOK,PMNT,RCDT,DMCT,MONTA APS,,Bankgiroinsättning 450-8966 | Bankgiroinsättning 450-8966,,,,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-12-00.08.01-SEK8160,2025-07-12T00:08:01.748+02:00,CA XML Account statement extended_0220976072_20250715.xml,4125341.23,SEK,CRDT,2025-07-11,2844605.57,SEK,CRDT,2025-07-11,2025071120032337461091,4770.12,,,,,
2,2025071155614640320,2025-07-11,2025-07-14,1007.47,SEK,CRDT,BOOK,PMNT,RCDT,XBCT,MONTA APS,,Utlandsinsättning 1464032 | Utlandsinsättning 1464032,,,,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-12-00.08.01-SEK8160,2025-07-12T00:08:01.748+02:00,CA XML Account statement extended_0220976072_20250715.xml,4125341.23,SEK,CRDT,2025-07-11,2844605.57,SEK,CRDT,2025-07-11,2025071155614640320,1007.47,,,,,
3,2025071153219731781,2025-07-11,2025-07-11,285.1,SEK,CRDT,BOOK,PMNT,RCDT,ACDT,MONTA APS,,Insättning | Insättning,,,,SE1295000099604221208160,SEK,MONTA APS,NDEASESS,2025-07-12-00.08.01-SEK8160,2025-07-12T00:08:01.748+02:00,CA XML Account statement extended_0220976072_20250715.xml,4125341.23,SEK,CRDT,2025-07-11,2844605.57,SEK,CRDT,2025-07-11,2025071153219731781,285.1,,,,,
